decade,state,Biological,Chemical,Coastal Storm,Dam/Levee Break,Drought,Earthquake,Fire,Fishing Losses,Flood,Freezing,Human Cause,Hurricane,Mud/Landslide,Other,Severe Ice Storm,Severe Storm,Snowstorm,Terrorist,Tornado,Toxic Substances,Tropical Storm,Tsunami,Typhoon,Volcanic Eruption,Winter Storm,Total
1970's,GA,0,0,0,0,144,0,0,0,12,6,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,199
1970's,HI,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1970's,IA,0,0,0,0,3,0,0,0,86,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,102
1970's,ID,0,0,0,0,9,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
1970's,IL,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,2,24,0,5,0,0,0,0,0,0,161
1970's,IN,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,41,0,39,0,0,0,0,0,0,100
1970's,KS,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,140
1970's,KY,0,0,0,0,0,0,0,0,114,0,0,0,0,1,0,0,0,0,42,0,0,0,0,0,0,157
1970's,LA,0,0,0,0,0,0,0,0,77,0,0,31,0,0,0,13,34,0,2,0,0,0,0,0,0,157
1970's,MA,0,0,0,0,0,0,1,8,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22
1970's,MD,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,0,67
1970's,ME,0,0,0,0,0,0,1,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
1970's,MI,0,0,0,0,44,0,0,0,56,0,0,0,0,0,0,29,104,0,1,0,0,0,0,0,0,234
1970's,MN,0,0,0,0,78,0,7,0,69,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,188
1970's,MO,0,0,0,0,94,0,0,0,70,0,0,0,0,0,0,94,0,0,28,0,0,0,0,0,0,286
1970's,MS,0,0,0,0,0,0,0,0,44,0,0,16,0,0,0,97,72,0,42,0,0,0,0,0,0,271
1970's,MT,0,0,0,0,6,0,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
1970's,NC,0,0,0,0,49,0,0,0,26,0,0,0,0,0,0,0,30,0,6,0,0,0,0,0,0,111
1970's,ND,0,0,0,0,18,0,0,0,151,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,179
1970's,NE,0,0,0,0,2,0,0,0,64,0,0,0,0,0,20,0,0,0,2,0,0,0,0,0,0,88
1970's,NH,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
1970's,NJ,0,0,1,0,0,0,0,0,42,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,53
1970's,NM,0,0,0,0,8,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
1970's,NV,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1970's,NY,0,0,0,0,0,0,0,0,87,0,0,3,0,0,7,0,18,0,0,1,0,0,0,0,0,116
1970's,OH,0,0,0,0,0,0,0,0,28,0,0,0,2,0,0,0,135,0,14,0,0,0,0,0,0,179
1970's,OK,0,0,0,0,0,0,2,0,79,0,0,0,0,0,0,56,0,0,10,0,0,0,0,0,0,147
1970's,OR,0,0,0,0,19,0,9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
1970's,PA,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,167
1970's,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10
1970's,SC,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
