year,state,incident_type
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,MN,Flood
1965,OH,Tornado
1965,OH,Tornado
1965,OH,Tornado
1965,OH,Tornado
1965,OH,Tornado
1965,OH,Tornado
1965,OH,Tornado
1965,OH,Tornado
1965,OH,Tornado
1965,OH,Tornado
1965,OH,Tornado
1965,OH,Tornado
1965,OH,Tornado
1965,OH,Tornado
1965,OH,Tornado
1965,MI,Tornado
1965,MI,Tornado
1965,MI,Tornado
1965,MI,Tornado
1965,MI,Tornado
1965,MI,Tornado
1965,MI,Tornado
1965,MI,Tornado
1965,MI,Tornado
1965,MI,Tornado
1965,MI,Tornado
1965,MI,Tornado
1965,MI,Tornado
1965,MI,Tornado
1965,MI,Tornado
1965,MI,Tornado
1965,IN,Tornado
1965,IN,Tornado
1965,IN,Tornado
1965,IN,Tornado
1965,IN,Tornado
1965,IN,Tornado
1965,IN,Tornado
1965,IN,Tornado
1965,IN,Tornado
1965,IN,Tornado
1965,IN,Tornado
1965,IN,Tornado
1965,IN,Tornado
1965,IN,Tornado
1965,IN,Tornado
1965,IN,Tornado
1965,IN,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,WI,Tornado
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IA,Flood
1965,IL,Tornado
1965,IL,Tornado
1965,IL,Tornado
1965,IL,Tornado
1965,IL,Tornado
1965,IL,Tornado
1965,IL,Tornado
1965,IL,Tornado
1965,IL,Tornado
1965,IL,Tornado
1965,ND,Flood
1965,ND,Flood
1965,ND,Flood
1965,ND,Flood
1965,ND,Flood
1965,ND,Flood
1965,ND,Flood
1965,ND,Flood
1965,ND,Flood
1965,ND,Flood
1965,WA,Earthquake
1965,WA,Earthquake
1965,WA,Earthquake
1965,WA,Earthquake
1965,WA,Earthquake
1965,WA,Earthquake
1965,SD,Flood
1965,SD,Flood
1965,SD,Flood
1965,SD,Flood
1965,MO,Severe Storm
1965,MO,Severe Storm
1965,MO,Severe Storm
1965,MO,Severe Storm
1965,MO,Severe Storm
1965,MO,Severe Storm
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,CO,Tornado
1965,TX,Tornado
1965,TX,Tornado
1965,TX,Tornado
1965,TX,Tornado
1965,TX,Tornado
1965,TX,Tornado
1965,TX,Tornado
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,KS,Flood
1965,NM,Flood
1965,NM,Flood
1965,NM,Flood
1965,NM,Flood
1965,MO,Flood
1965,MO,Flood
1965,MO,Flood
1965,MO,Flood
1965,MO,Flood
1965,MO,Flood
1965,MO,Flood
1965,MO,Flood
1965,MO,Flood
1965,MO,Flood
1965,MO,Flood
1965,MO,Flood
1965,MO,Flood
1965,MO,Flood
1965,MO,Flood
1965,MO,Flood
1965,MO,Flood
1965,MO,Flood
1965,DE,Drought
1965,DE,Drought
1965,DE,Drought
1965,PA,Drought
1965,PA,Drought
1965,PA,Drought
1965,PA,Drought
1965,PA,Drought
1965,PA,Drought
1965,PA,Drought
1965,PA,Drought
1965,PA,Drought
1965,PA,Drought
1965,PA,Drought
1965,PA,Drought
1965,PA,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NJ,Drought
1965,NY,Drought
1965,NY,Drought
1965,NY,Drought
1965,NY,Drought
1965,NY,Drought
1965,NY,Drought
1965,NY,Drought
1965,NY,Drought
1965,NY,Drought
1965,NY,Drought
1965,NY,Drought
1965,NY,Drought
1965,NY,Drought
1965,NY,Drought
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,LA,Hurricane
1965,FL,Hurricane
1965,FL,Hurricane
1965,FL,Hurricane
1965,FL,Hurricane
1965,FL,Hurricane
1965,FL,Hurricane
1965,FL,Hurricane
1965,FL,Hurricane
1965,FL,Hurricane
1965,FL,Hurricane
1965,MS,Hurricane
1965,MS,Hurricane
1965,MS,Hurricane
1965,MS,Hurricane
1965,MS,Hurricane
1965,MS,Hurricane
1965,MS,Hurricane
1965,MS,Hurricane
1965,MS,Hurricane
1965,MS,Hurricane
1965,MS,Hurricane
1966,CA,Flood
1966,CA,Flood
1966,CA,Flood
1966,CA,Flood
1966,CA,Flood
1966,AS,Typhoon
1966,AS,Typhoon
1966,AS,Typhoon
1966,AS,Typhoon
1966,AS,Typhoon
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,GA,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
1966,MN,Flood
